country,continent,bmi,population,lifeexp_female,life_expectancy,che_gdp_pct,gdp,status,gdp_mil,pop_mil,gdp_per_cap
New Zealand,Oceania,28.1,4595700,83.7,82,9.3,177208110322.7,Developed,177208.1103227,4.5957,38559.547038035555
Nicaragua,North America,26.8,6223240,78.2,75.2,8,12756706583.31,Developing,12756.706583309999,6.22324,2049.8496897612818
Niger,Africa,21.7,20001663,60.2,59.2,7.1,7217667780.6,Developing,7217.667780600001,20.001663,360.85338407111453
Nigeria,Africa,23,181137448,55.3,54.8,3.6,494583180777.1,Developing,494583.1807771,181.137448,2730.4303237014797
Niue,Oceania,32.3,NA,NA,NA,8.2,NA,Developing,NA,NA,NA
Norway,Europe,27,5188607,84.1,82.3,10.1,385801550067.17,Developed,385801.55006717,5.188607,74355.51585756446
Oman,Asia,26,4267348,79.3,76.8,4.3,68921456436.93,Developing,68921.45643692999,4.267348,16150.88725759652
Pakistan,Asia,23.7,199426964,67,66.1,2.7,270556131701.17,Developing,270556.13170117,199.426964,1356.667755826489
Palau,Oceania,29.5,17665,NA,NA,10.9,280376100,Developing,280.3761,0.017665,15871.842626662892
Panama,North America,26.8,3968487,81.1,77.9,6.8,54091700000,Developing,54091.7,3.968487,13630.307973794546
Papua New Guinea,Oceania,25.7,8107775,68.1,65.7,1.9,21723531182.14,Developing,21723.53118214,8.107775,2679.3455889118777
Paraguay,South America,26.4,6688746,76,74.1,6.7,36164068797.25,Developing,36164.06879725,6.688746,5406.7038570832265
Peru,South America,26.4,30470734,78.1,75.6,5,189805300841.6,Developing,189805.3008416,30.470734,6229.101696125863
Philippines,Asia,23,102113212,72.5,69.2,4.3,292774099013.69,Developing,292774.09901369,102.113212,2867.1519902213045
Poland,Europe,27.1,37986412,81.3,77.4,6.4,477576866958.48,Developed,477576.86695848,37.986412,12572.307880999131
Portugal,Europe,26.3,10358076,84.3,81.3,9,199313894327.49,Developed,199313.89432748998,10.358076,19242.366471098492
Qatar,Asia,29.1,2565710,79.7,78,3.1,161739835164.84,Developing,161739.83516483998,2.56571,63039.01655480939
Republic of Korea,Asia,23.9,51014947,85.3,82.3,7,1382764027113.82,Developing,1382764.02711382,51.014947,27105.076226264042
Republic of Moldova,Europe,27.3,2834530,74.6,70.8,8.6,7745231660.33,Developing,7745.23166033,2.83453,2732.4571129358305
Republic of North Macedonia,Europe,26.9,2079328,77.8,75.7,6.3,10064515432.03,Developing,10064.51543203,2.079328,4840.273122869505
Romania,Europe,27.3,19815616,78.7,74.9,4.9,177893451831.14,Developed,177893.45183114,19.815616,8977.437382271639
Russian Federation,Europe/Asia,26.6,144096870,76.9,71.5,5.3,1363594369577.82,Developing,1363594.3695778202,144.09687,9463.039478774383
Rwanda,Africa,22.2,11369071,68.4,67.6,6.5,8277614580.59,Developing,8277.61458059,11.369071,728.0818793892659
Saint Kitts and Nevis,North America,29.3,51203,NA,NA,4.9,923155555.56,Developing,923.1555555599999,0.051203,18029.325538737965
